,horario,dia,mes,energia,cor_atrasada,cor_principal,med_CO2,fat_pot_atrasado,fat_pot_principal,seg_no_dia,est_semanal,dia_semana,carga
0,00:15:00,1,1,3.17,2.95,0.0,0.0,73.21,100.0,900,Dia da Semana,Segunda-feira,Carga leve
1,00:30:00,1,1,4.0,4.46,0.0,0.0,66.77,100.0,1800,Dia da Semana,Segunda-feira,Carga leve
2,00:45:00,1,1,3.24,3.28,0.0,0.0,70.28,100.0,2700,Dia da Semana,Segunda-feira,Carga leve
3,01:00:00,1,1,3.31,3.56,0.0,0.0,68.09,100.0,3600,Dia da Semana,Segunda-feira,Carga leve
4,01:15:00,1,1,3.82,4.5,0.0,0.0,64.72,100.0,4500,Dia da Semana,Segunda-feira,Carga leve
5,01:30:00,1,1,3.28,3.56,0.0,0.0,67.76,100.0,5400,Dia da Semana,Segunda-feira,Carga leve
6,01:45:00,1,1,3.6,4.14,0.0,0.0,65.62,100.0,6300,Dia da Semana,Segunda-feira,Carga leve
7,02:00:00,1,1,3.6,4.28,0.0,0.0,64.37,100.0,7200,Dia da Semana,Segunda-feira,Carga leve
8,02:15:00,1,1,3.28,3.64,0.0,0.0,66.94,100.0,8100,Dia da Semana,Segunda-feira,Carga leve
9,02:30:00,1,1,3.78,4.72,0.0,0.0,62.51,100.0,9000,Dia da Semana,Segunda-feira,Carga leve
10,02:45:00,1,1,3.46,4.03,0.0,0.0,65.14,100.0,9900,Dia da Semana,Segunda-feira,Carga leve
11,03:00:00,1,1,3.24,3.64,0.0,0.0,66.49,100.0,10800,Dia da Semana,Segunda-feira,Carga leve
12,03:15:00,1,1,3.96,4.97,0.0,0.0,62.32,100.0,11700,Dia da Semana,Segunda-feira,Carga leve
13,03:30:00,1,1,3.31,3.74,0.0,0.0,66.27,100.0,12600,Dia da Semana,Segunda-feira,Carga leve
14,03:45:00,1,1,3.31,3.85,0.0,0.0,65.19,100.0,13500,Dia da Semana,Segunda-feira,Carga leve
15,04:00:00,1,1,3.89,5.0,0.0,0.0,61.4,100.0,14400,Dia da Semana,Segunda-feira,Carga leve
16,04:15:00,1,1,3.28,3.82,0.0,0.0,65.14,100.0,15300,Dia da Semana,Segunda-feira,Carga leve
17,04:30:00,1,1,3.56,4.28,0.0,0.0,63.95,100.0,16200,Dia da Semana,Segunda-feira,Carga leve
18,04:45:00,1,1,3.74,4.54,0.0,0.0,63.58,100.0,17100,Dia da Semana,Segunda-feira,Carga leve
19,05:00:00,1,1,3.31,3.6,0.0,0.0,67.68,100.0,18000,Dia da Semana,Segunda-feira,Carga leve
20,05:15:00,1,1,3.56,4.07,0.0,0.0,65.84,100.0,18900,Dia da Semana,Segunda-feira,Carga leve
21,05:30:00,1,1,3.56,4.1,0.0,0.0,65.56,100.0,19800,Dia da Semana,Segunda-feira,Carga leve
22,05:45:00,1,1,3.28,3.49,0.0,0.0,68.48,100.0,20700,Dia da Semana,Segunda-feira,Carga leve
23,06:00:00,1,1,3.78,4.32,0.0,0.0,65.85,100.0,21600,Dia da Semana,Segunda-feira,Carga leve
24,06:15:00,1,1,3.35,3.64,0.0,0.0,67.72,100.0,22500,Dia da Semana,Segunda-feira,Carga leve
25,06:30:00,1,1,3.24,3.35,0.0,0.0,69.52,100.0,23400,Dia da Semana,Segunda-feira,Carga leve
26,06:45:00,1,1,3.89,4.46,0.0,0.0,65.73,100.0,24300,Dia da Semana,Segunda-feira,Carga leve
27,07:00:00,1,1,3.31,3.53,0.0,0.0,68.4,100.0,25200,Dia da Semana,Segunda-feira,Carga leve
28,07:15:00,1,1,3.28,3.49,0.0,0.0,68.48,100.0,26100,Dia da Semana,Segunda-feira,Carga leve
29,07:30:00,1,1,3.85,4.75,0.0,0.0,62.97,100.0,27000,Dia da Semana,Segunda-feira,Carga leve
30,07:45:00,1,1,3.2,3.6,0.0,0.0,66.44,100.0,27900,Dia da Semana,Segunda-feira,Carga leve
31,08:00:00,1,1,3.31,3.78,0.0,0.0,65.88,100.0,28800,Dia da Semana,Segunda-feira,Carga leve
32,08:15:00,1,1,3.78,4.75,0.0,0.0,62.27,100.0,29700,Dia da Semana,Segunda-feira,Carga leve
33,08:30:00,1,1,3.28,3.74,0.0,0.0,65.94,100.0,30600,Dia da Semana,Segunda-feira,Carga leve
34,08:45:00,1,1,3.49,4.46,0.18,0.0,61.63,99.87,31500,Dia da Semana,Segunda-feira,Carga leve
35,09:00:00,1,1,3.89,0.0,15.66,0.0,100.0,24.11,32400,Dia da Semana,Segunda-feira,Carga leve
36,09:15:00,1,1,3.6,0.0,16.96,0.0,100.0,20.76,33300,Dia da Semana,Segunda-feira,Carga leve
37,09:30:00,1,1,4.03,0.0,21.28,0.0,100.0,18.61,34200,Dia da Semana,Segunda-feira,Carga leve
38,09:45:00,1,1,3.92,0.0,19.22,0.0,100.0,19.98,35100,Dia da Semana,Segunda-feira,Carga leve
39,10:00:00,1,1,3.64,0.0,16.88,0.0,100.0,21.08,36000,Dia da Semana,Segunda-feira,Carga leve
40,10:15:00,1,1,4.07,0.0,22.32,0.0,100.0,17.94,36900,Dia da Semana,Segunda-feira,Carga leve
41,10:30:00,1,1,3.71,0.0,18.0,0.0,100.0,20.19,37800,Dia da Semana,Segunda-feira,Carga leve
42,10:45:00,1,1,3.6,0.0,16.92,0.0,100.0,20.81,38700,Dia da Semana,Segunda-feira,Carga leve
43,11:00:00,1,1,4.21,0.0,23.4,0.0,100.0,17.71,39600,Dia da Semana,Segunda-feira,Carga leve
44,11:15:00,1,1,3.49,0.0,5.65,0.0,100.0,52.55,40500,Dia da Semana,Segunda-feira,Carga leve
45,11:30:00,1,1,3.46,0.0,4.82,0.0,100.0,58.31,41400,Dia da Semana,Segunda-feira,Carga leve
46,11:45:00,1,1,4.0,0.0,6.7,0.0,100.0,51.26,42300,Dia da Semana,Segunda-feira,Carga leve
47,12:00:00,1,1,3.49,0.0,4.57,0.0,100.0,60.69,43200,Dia da Semana,Segunda-feira,Carga leve
48,12:15:00,1,1,3.6,0.0,12.89,0.0,100.0,26.9,44100,Dia da Semana,Segunda-feira,Carga leve
49,12:30:00,1,1,4.25,0.0,23.15,0.0,100.0,18.06,45000,Dia da Semana,Segunda-feira,Carga leve
50,12:45:00,1,1,3.67,0.0,16.67,0.0,100.0,21.5,45900,Dia da Semana,Segunda-feira,Carga leve
51,13:00:00,1,1,3.67,0.0,16.63,0.0,100.0,21.55,46800,Dia da Semana,Segunda-feira,Carga leve
52,13:15:00,1,1,4.25,0.0,23.33,0.0,100.0,17.92,47700,Dia da Semana,Segunda-feira,Carga leve
53,13:30:00,1,1,3.64,0.0,16.74,0.0,100.0,21.25,48600,Dia da Semana,Segunda-feira,Carga leve
54,13:45:00,1,1,3.67,0.0,16.99,0.0,100.0,21.11,49500,Dia da Semana,Segunda-feira,Carga leve
55,14:00:00,1,1,4.28,0.0,23.4,0.0,100.0,17.99,50400,Dia da Semana,Segunda-feira,Carga leve
56,14:15:00,1,1,3.64,0.0,16.67,0.0,100.0,21.33,51300,Dia da Semana,Segunda-feira,Carga leve
57,14:30:00,1,1,3.78,0.0,18.25,0.0,100.0,20.28,52200,Dia da Semana,Segunda-feira,Carga leve
